OBJECTID,ORGN,DSTN,SHAPE_Length
945,LANGA,MOWBRAY,14937.6865530528
946,NYANGA,GOODWOOD,17820.1383443723
947,CAPE TOWN,RUYTERWACHT (VIA GARDEN VILLAGE),23754.6652189568
948,WYNBERG,BISHOPS COURT,12587.885819217
949,"LEIDEN,DELFT",BELLVILLE,13140.5423347177
950,KHAYELITSHA,CENTURY CITY,31562.3456127291
951,CAPE TOWN (STATION DECK),FRANKDALE,42598.219876978
952,CAPE TOWN (STATION DECK),SANDRIFT - MONTAGUE GARDENS,18439.0404939049
953,CAPE TOWN (STATION DECK),TABLE VIEW,26889.5851960715
954,MOWBRAY,CENTURY CITY,12160.2763080788
955,GUGULETU,MOWBRAY,19303.0906964841
956,LEIDEN,ELSIES RIVER,18880.2292423804
957,DELFT,WYNBERG,19140.7075847616
958,LOWER CROSS ROADS,WYNBERG,17386.5478325039
959,PHILIPPI,WYNBERG,14495.0859082391
960,DELFT,WYNBERG AND RETURN,42284.4259908689
961,LOWER CROSSROADS,WYNBERG (VIA CLAREMONT),23041.5284751023
962,NYANGA TAXI RANK,DELFT,12545.3286303734
963,SAMORA MACHEL,WYNBERG,13335.850111361
964,LEIDEN,BELLVILLE,13159.7329567806
965,KHAYELITSHA,MACASSAR,21566.5798187983
966,WYNBERG,LANGA,15720.2547072487
967,MASIPHUMELELE,KOMMETJIE,7531.0930058128
968,YSTERPLAAT,MITCHELLS PLAIN,33836.928647911
969,KALKFONTEIN,KUILSRIVER,5038.60477580177
970,SURBURBAN BLISS,ATHLONE,24243.8284328154
971,SURBURBAN BLISS,MOWBRAY,28186.3922354024
972,SURBURBAN BLISS,CAPE TOWN,35126.8101771446
973,SURBURBAN BLISS,CAPE TOWN,35685.4355809352
974,SURBURBAN BLISS,SEA POINT,44754.1874412612
975,SURBURBAN BLISS,ELSIES RIVER,18988.5874105846
976,SURBURBAN BLISS,PAROW,19243.6478672851
977,CROSS ROADS(JO-BURG STORES),CLAREMONT,14854.0104550995
978,MOWBRAY,CAPE TOWN,19064.1119491935
979,MOWBRAY,CENTURY CITY,22631.305947841
980,WESBANK,PAROW STATION,15509.98844387
981,MUTUAL RAILWAY STATION,BELLVILLE,7693.2011002746
982,MUTUAL RAILWAY STATION,LANGA,17058.802653588
983,LWANDLE,SOMERSET WEST (VIA DENNEGEUR),10834.3684061385
984,LWANDLE,HELDERVUE (SOMERSET WEST),13680.8659524958
985,LWANDLE,SANDVLEI,15340.8644936844
986,LWANDLE,SOMERSET WEST(VIA NOMZAMO),9963.23317691603
987,WALLACEDENE,BLOEKOMBOS,5694.79850348728
988,LWANDLE,GORDONS BAY,6936.60317561996
989,KHAYELITSHA,WYNBERG,22488.4462484309
990,NORTHPINE,WALLACEDENE,5524.60932544343
991,DU NOON,CAPE TOWN (VIA VOORTREKKER ROAD),22574.093265673
992,DELFT SOUTH,EPPING (VIA MODDERDAM ROAD),21217.1531368226
993,DELFT SOUTH,EPPING (VIA 35TH STREET & OWEN ROAD),18967.3934722421
994,HANOVER PARK,CAPE TOWN (VIA KROMBOOM PARKWAY),19111.7663530618
995,HANOVER PARK,CAPE TOWN (VIA FREEWAY),21533.8000180702
996,HANOVER PARK,CAPE TOWN,22045.866883356
997,CAPE TOWN,SUMMER GREENS (VIA PHOENIX VILLAGE & JOE SLOVO),16633.9559449362
998,CAPE TOWN,SUMMER GREENS,15795.8560549382
999,CAPE TOWN,CAMBRIDGE (VIA BROOKLYN & RUGBY),11623.0630577512
